date,location,new_cases,new_deaths,total_cases,total_deaths,govt_pol_index,tests_per_thous,Susceptible,Infected,Recovered,I_x,Stages
09/25/20,India,,,,,,,1257.83979223322,21035.8470551392,277709.313152628,10.8134453317778,1
09/26/20,India,,,,,,,1247.02634690144,20590.3651479328,278165.608505166,10.4759705663689,1
09/27/20,India,,,,,,,1236.55037633508,20154.2829825415,278612.166641123,10.1566887334291,1
09/28/20,India,,,,,,,1226.39368760165,19727.3974611515,279049.208851247,9.85533266944822,1
09/29/20,India,,,,,,,1216.5383549322,19309.508131986,279476.953513082,9.57163521091889,1
09/30/20,India,,,,,,,1206.96671972128,18900.4171893044,279895.616090974,9.30532919433108,1
10/01/20,India,,,,,,,1197.66139052695,18499.929473403,280305.40913607,9.0561474561764,1
10/02/20,India,,,,,,,1188.60524307077,18107.8524706147,280706.542286315,8.82382283294555,1
10/03/20,India,,,,,,,1179.78142023783,17723.9963133088,281099.222266453,8.60808816113013,1
10/04/20,India,,,,,,,1171.1733320767,17348.1737798915,281483.652888032,8.40867627722059,1
10/05/20,India,,,,,,,1162.76465579948,16980.2002948054,281860.035049395,8.22532001770878,1
10/06/20,India,,,,,,,1154.53933578177,16619.8939285299,282228.566735688,8.05775221908493,1
10/07/20,India,,,,,,,1146.48158356268,16267.0753975808,282589.443018857,8,1
